threshold,cost,precision,recall,f1,tp,fp,tn,fn
0.23500000000000001,25.0,0.6739130434782609,0.9393939393939394,0.7848101265822786,31,15,13,2
0.24,25.0,0.6739130434782609,0.9393939393939394,0.7848101265822786,31,15,13,2
0.245,25.0,0.6739130434782609,0.9393939393939394,0.7848101265822786,31,15,13,2
0.25,25.0,0.6739130434782609,0.9393939393939394,0.7848101265822786,31,15,13,2
0.255,25.0,0.6739130434782609,0.9393939393939394,0.7848101265822786,31,15,13,2
0.26,25.0,0.6739130434782609,0.9393939393939394,0.7848101265822786,31,15,13,2
0.265,24.0,0.6888888888888889,0.9393939393939394,0.7948717948717948,31,14,14,2
0.27,24.0,0.6888888888888889,0.9393939393939394,0.7948717948717948,31,14,14,2
0.275,24.0,0.6888888888888889,0.9393939393939394,0.7948717948717948,31,14,14,2
0.28,23.0,0.7045454545454546,0.9393939393939394,0.8051948051948052,31,13,15,2
0.28500000000000003,23.0,0.7045454545454546,0.9393939393939394,0.8051948051948052,31,13,15,2
0.29,22.0,0.7209302325581395,0.9393939393939394,0.8157894736842105,31,12,16,2
0.295,22.0,0.7209302325581395,0.9393939393939394,0.8157894736842105,31,12,16,2
0.3,22.0,0.7209302325581395,0.9393939393939394,0.8157894736842105,31,12,16,2
0.305,21.0,0.7380952380952381,0.9393939393939394,0.8266666666666667,31,11,17,2
0.31,21.0,0.7380952380952381,0.9393939393939394,0.8266666666666667,31,11,17,2
0.315,21.0,0.7380952380952381,0.9393939393939394,0.8266666666666667,31,11,17,2
0.32,21.0,0.7380952380952381,0.9393939393939394,0.8266666666666667,31,11,17,2
0.325,21.0,0.7380952380952381,0.9393939393939394,0.8266666666666667,31,11,17,2
0.33,21.0,0.7380952380952381,0.9393939393939394,0.8266666666666667,31,11,17,2
0.335,21.0,0.7380952380952381,0.9393939393939394,0.8266666666666667,31,11,17,2
0.34,20.0,0.7560975609756098,0.9393939393939394,0.8378378378378378,31,10,18,2
0.34500000000000003,20.0,0.7560975609756098,0.9393939393939394,0.8378378378378378,31,10,18,2
0.35000000000000003,20.0,0.7560975609756098,0.9393939393939394,0.8378378378378378,31,10,18,2
0.355,20.0,0.7560975609756098,0.9393939393939394,0.8378378378378378,31,10,18,2
0.36,20.0,0.7560975609756098,0.9393939393939394,0.8378378378378378,31,10,18,2
0.365,20.0,0.7560975609756098,0.9393939393939394,0.8378378378378378,31,10,18,2
0.37,20.0,0.7560975609756098,0.9393939393939394,0.8378378378378378,31,10,18,2
0.375,19.0,0.775,0.9393939393939394,0.8493150684931509,31,9,19,2
0.38,19.0,0.775,0.9393939393939394,0.8493150684931509,31,9,19,2
0.385,19.0,0.775,0.9393939393939394,0.8493150684931509,31,9,19,2
0.39,19.0,0.775,0.9393939393939394,0.8493150684931509,31,9,19,2
0.395,19.0,0.775,0.9393939393939394,0.8493150684931509,31,9,19,2
